"Cells","Fates","CCTermDefects","PosTermDefects","AngTermDefects","Expression","ceh36_peak.CellsLineageOrder...1..","unc30_peak.CellsLineageOrder...1..","mls2_peak.CellsLineageOrder...1..","nob1_peak.CellsLineageOrder...1..","ceh13_peak.CellsLineageOrder...1.."
"ABpraaaaapd","OLLshR",4,1,0,9169,0,540,8,0,0
"ABpraaaaapv","death",4,0,0,9169,0,59,8,0,0
"ABpraaaapad","RMDR",4,0,0,10749,0,0,2352,0,15
"ABpraaaapav","AFDR",4,0,0,10749,0,0,2217,0,15
"ABpraaaappa","death",3,0,0,10749,0,177,137,0,0
"ABpraaaappp",NA,5,0,0,10749,0,0,8,0,0
"ABpraaapaad","ADLR",3,0,0,8831,0,0,8,0,0
"ABpraaapaav","death",3,0,0,8831,0,475,8,0,0
"ABpraaapapa",NA,1,1,0,8831,0,0,8,0,0
"ABpraaapapp","death",1,1,0,8831,0,0,8,0,0
"ABpraaappaa","ADFR",1,1,0,9759,0,0,8,0,0
"ABpraaappap","AWBR",1,0,0,9759,0,0,8,0,0
"ABpraaapppa",NA,1,6,0,9759,0,0,8,0,0
"ABpraaappppa","ASJR",3,0,0,9759,0,0,8,0,0
"ABpraaappppp","AUAR",3,1,0,9759,0,0,8,0,0
"ABpraapaaaa","hyp3",3,1,0,12168,11,0,8,0,0
"ABpraapaaap","ILsoDR",3,2,0,12168,11,0,150,0,0
"ABpraapaapa","URBR",4,0,0,12168,0,193,1428,0,0
"ABpraapaapp","AMshR",4,1,0,12168,0,0,8,0,0
"ABpraapapaa","AWAR",5,1,0,11346,0,1080,8,0,0
"ABpraapapap","ASGR",5,0,0,11346,0,582,8,0,0
"ABpraapappa","AIBR",3,1,0,11346,0,825,8,0,0
"ABpraapappp",NA,4,2,0,11346,0,442,8,0,0
"ABpraappaa","hyp4",7,3,1,14170,0,105,8,73,35
"ABpraappap","hyp6",7,2,1,14170,0,0,8,0,0
"ABpraapppa","hyp7",2,0,1,15893,0,0,8,0,0
"ABpraapppp","hyp7",2,1,1,15893,0,0,8,0,0
"ABprapaaaaa","death",3,1,0,9652,0,0,8,0,3759
"ABprapaaaap",NA,3,0,0,9652,0,0,8,0,3759
"ABprapaaapa",NA,5,0,0,9912,0,0,8,0,3759
"ABprapaaapp","RMGR",5,2,0,9912,0,0,8,0,3759
"ABprapaapa","W",0,4,0,9237,42,0,8,0,3986
"ABprapaapp","P1/2R",0,3,0,10235,0,0,8,0,3986
"ABprapapaa",NA,0,3,0,13258,0,0,8,1695,2802
"ABprapapap","P9/10R",0,2,0,14050,0,0,8,1451,2802
"ABprapappa","P12",1,0,0,12621,0,0,8,3542,2802
"ABprapapppa","death",3,3,0,12898,0,331,8,2748,2802
"ABprapapppp",NA,3,2,0,12898,0,0,8,2748,2802
"ABprappaaa","P3/4R",0,3,0,18831,0,0,8,934,2814
"ABprappaap","P5/6R",0,4,0,18831,0,0,8,934,1962
"ABprappapa","V3R",1,4,0,20412,0,0,8,896,1267
"ABprappapp","P7/8R",1,2,0,18483,0,0,8,896,1267
"ABprapppaaa","PVQR",1,3,0,12643,0,0,8,1839,1113
"ABprapppaap","death",1,3,0,12643,0,0,58,1839,1113
"ABprapppapa","death",1,2,0,12643,0,0,8,1839,1113
"ABprapppapp",NA,1,2,0,12643,0,142,8,1839,1113
"ABprappppa","hyp7",1,2,0,11046,0,0,8,1483,1113
"ABprappppp","TR",1,2,0,11046,88,0,8,1483,1113
"ABprpaaaaaa","SAAVR",3,0,0,9578,927,1521,2848,0,0
"ABprpaaaaap","AWCR",3,0,0,9578,927,1521,2848,0,0
"ABprpaaaapa","G1",2,0,0,9578,1015,1521,2915,0,0
"ABprpaaaapp","DB3/1",2,0,0,9578,1015,1521,2915,0,0
"ABprpaaapaa","URAVR",4,0,0,9979,743,1521,990,1,0
"ABprpaaapap","CEPshVR",4,0,0,9979,743,1521,990,1,0
"ABprpaaappa",NA,2,0,0,9979,768,1521,1527,2,0
"ABprpaaappp","URYVR",2,0,0,9979,768,1521,1527,2,0
"ABprpaapaaa","RIVR",4,1,1,10893,720,1298,32,0,0
"ABprpaapaap","AVBR",4,0,1,10893,720,1298,32,0,0
