"","Cells","20230222_JIM188_tbx.9_die.1_L1","20230223_JIM188_tbx.9_die.1_L4","20230224_RW10265_tbx.8_die.1_L1","20230224_RW10265_tbx.8_die.1_L3","20230224_RW10265_tbx.8_die.1_L4"
"ABalpp","ABalpp",1.65015602331377,1.88076985355802,3.27345410697468,1.7496617556885,2.3533909164601
"ABalppa","ABalppa",2.6551789195299,3.18496690783303,4.43496300075463,1.9015123465185,5.85268609692529
"ABalppaa","ABalppaa",5.17474149250995,2.80270668905057,6.21423039513726,2.6100625120013,5.8146856953361
"ABalppaaa","ABalppaaa",3.25656352019789,4.76927193196807,3.49846795296957,1.51783405075748,3.46184275659659
"ABalppaaaa","ABalppaaaa",2.56231267790194,2.48971810330714,2.91219350178623,2.61585961850459,2.20467680816914
"ABalppaaap","ABalppaaap",1.85110138520979,4.87258562655296,3.13292351968456,2.23550549147436,1.52826290113175
"ABalppaaapa","ABalppaaapa",3.10884443291809,5.98719336635117,2.07083891328619,3.40231305039132,1.52674680001242
"ABalppaaapp","ABalppaaapp",3.18409374220919,5.16491724643347,1.75149105989841,2.40254018740836,1.71843135311401
"ABalppaap","ABalppaap",3.09766203302303,4.48879847334376,2.76100497316844,1.6327109647108,4.37061853300862
"ABalppaapa","ABalppaapa",1.44290744096645,4.4478560682563,4.32637466459989,1.85334049376052,3.3433989329538
"ABalppaapp","ABalppaapp",1.214759911468,4.09830819925524,1.77278729931527,2.71033885714928,2.2322258590341
"ABalppaappa","ABalppaappa",3.40616195490187,4.8787221856424,1.60372900497065,4.0342108701457,2.41390085515939
"ABalppaappp","ABalppaappp",2.2671117341791,3.70642194647508,2.07179523435366,1.93176499731829,1.8447485023574
"ABalppap","ABalppap",2.92706364055901,5.16534824404421,6.09985279093158,1.67610863609208,3.84429458457714
"ABalppapa","ABalppapa",2.8401829363249,7.0709017996524,2.65674945441499,2.22935791955162,3.99564222208818
"ABalppapaa","ABalppapaa",2.6852541074268,4.89291541214941,2.21878588286899,1.66506371857943,4.01703601935916
"ABalppapaaa","ABalppapaaa",2.37501534962858,2.22487692825316,3.01325691289356,1.91236122734406,1.7043832707347
"ABalppapaap","ABalppapaap",2.47194766953356,2.40724525457371,3.63907787369866,2.11839996785382,1.68978084706846
"ABalppapap","ABalppapap",3.17458859752579,4.26756267969342,2.13359780668636,1.69209579737305,3.04917235236035
"ABalppapapa","ABalppapapa",2.75612327655052,2.35734374501935,2.24801189215358,1.43929239284857,1.69589989090094
"ABalppapapp","ABalppapapp",2.64597332992393,4.2293013010684,1.908483847071,1.74103707615898,2.04688113877356
"ABalppapp","ABalppapp",1.88335422315717,6.05611053203336,2.54787687375298,3.26435520044901,2.55832607881334
"ABalppappa","ABalppappa",1.77150408987083,3.28111546951203,2.48422584668897,1.63539475034452,3.29637829760322
"ABalppappaa","ABalppappaa",1.72588116926095,2.54791809683101,2.29841451731405,1.81289026043709,1.415656708735
"ABalppappap","ABalppappap",2.24297243948182,3.13108796699409,2.37997820521372,1.30224605958104,1.24151672197255
"ABalppappp","ABalppappp",2.1325833021911,3.31663291224517,2.44189338176758,1.82295055890307,2.53883775692912
"ABalppapppa","ABalppapppa",2.21352655028886,2.73069680413126,2.04666731242799,1.46496673911376,1.45222796084225
"ABalppapppp","ABalppapppp",2.07536277119551,2.72852144524968,1.94291630798148,1.09932899355228,1.22934300224533
"ABalppp","ABalppp",3.35519659650865,4.31305526174228,2.60771239731161,1.85813434562013,2.40513240016176
"ABalpppa","ABalpppa",2.07281489263203,1.94008708423426,4.47379017938985,1.35973000212831,1.93274703864458
"ABalpppaa","ABalpppaa",1.37946980544373,4.52289415978842,3.1818202702969,2.97886024173341,2.01364230808463
"ABalpppaaa","ABalpppaaa",1.47726408985498,4.60956246558172,2.35824088825065,2.12911076208492,1.92678172870027
"ABalpppaaaa","ABalpppaaaa",2.64059689084223,4.65322690589169,1.72931127341962,2.415150735093,2.56001513576022
"ABalpppaaap","ABalpppaaap",2.92416669117529,4.43713759087034,1.70279301063167,2.12581396395939,1.40829322950657
"ABalpppaap","ABalpppaap",1.50416950711568,4.02817727458867,2.87201887760984,2.62796364947132,2.10345251749498
"ABalpppaapd","ABalpppaapd",1.75040298780959,2.71474319179977,1.72195098967296,2.13006848144198,2.31059346148935
"ABalpppaapv","ABalpppaapv",1.30160578907056,4.499030745666,1.65210765239346,2.19916735599445,1.57562890668581
"ABalpppap","ABalpppap",1.99447934125814,4.48579971607082,3.02828782448063,2.59235078574429,1.47312204019867
"ABalpppapa","ABalpppapa",1.87057892228655,4.57376313428735,2.56234094774221,2.91186763739502,1.85522219796471
"ABalpppapad","ABalpppapad",2.07505068549386,2.87990137971655,1.89971518808191,2.87755575592902,1.82871365470318
"ABalpppapav","ABalpppapav",3.10480154628664,4.540998617677,2.49679287189229,1.83375282668623,1.3502727399464
"ABalpppapp","ABalpppapp",1.36736856612854,3.78731652078141,2.96088471510975,1.52350111612157,1.54514098286028
"ABalpppappa","ABalpppappa",1.70025148796699,1.57584804982591,2.25945186894564,1.80412876955405,1.62720458226266
"ABalpppappp","ABalpppappp",1.0348281940234,1.4383787297445,2.64026935202446,1.88899613353144,1.91539832786975
"ABalpppp","ABalpppp",2.05377383483291,2.40898341557634,4.05158722387456,1.61302966630354,2.1549671462934
"ABalppppa","ABalppppa",1.68975694573119,3.24548782485828,5.08581218573395,1.90757072187889,3.63689517757912
"ABalppppaa","ABalppppaa",1.64817369922878,2.96769609773171,3.02070490967925,1.43260071070605,2.48148049175004
