Cells,WTDivMeans.Cells.,LateCalls,EarlyCalls,MissedCalls,EctopicCalls,TotalDefects,CC_Dif_pValues,WTCCMeans.Cells.,MutantCCMeans.Cells.
ABalpppppap,NA,0,0,0,0,0,NA,NA,NA
ABalpppppp,262.777272727273,1,0,0,0,1,0.189156391211053,50.9090909090909,53.35
ABalppppppa,347.233333333333,0,0,0,0,0,0.488930528600674,83.1,85.1
ABalppppppaa,NA,0,0,0,0,0,NA,NA,NA
ABalppppppap,NA,0,0,0,0,0,NA,NA,NA
ABalppppppp,337.209090909091,1,0,0,0,1,0.519919968981018,73.6727272727273,82
ABalpppppppa,NA,0,0,0,0,0,NA,NA,NA
ABalpppppppp,NA,0,0,0,0,0,NA,NA,NA
ABar,55.1727272727273,0,0,0,0,0,0.1379089434176,12.2952380952381,7.225
ABara,73.95,0,0,0,0,0,0.0769559021205405,17.0909090909091,15.8
ABaraa,101.086363636364,0,0,0,0,0,0.575523201972629,25.3909090909091,24.65
ABaraaa,133.931818181818,0,0,0,0,0,0.291049961267525,31.1454545454545,30.525
ABaraaaa,178.377272727273,0,0,0,0,0,0.966429805575206,42.7909090909091,42.725
ABaraaaaa,231.45,0,0,0,0,0,0.611960778193301,51.4409090909091,52.15
ABaraaaaaa,313.504545454545,0,0,0,0,0,0.626386588631634,80.4136363636364,78.575
ABaraaaaaaa,NA,0,0,0,0,0,NA,NA,NA
ABaraaaaaap,NA,0,0,0,0,0,NA,NA,NA
ABaraaaaap,313.072727272727,0,0,0,0,0,0.875514794938901,79.9772727272727,80.6
ABaraaaaapa,NA,0,0,0,0,0,NA,NA,NA
ABaraaaaapp,NA,0,0,0,0,0,NA,NA,NA
ABaraaaap,237.359090909091,0,0,0,0,0,0.906809688999633,57.3409090909091,57.55
ABaraaaapa,329.044444444444,0,0,0,0,0,0.484107645195947,90.6722222222222,95.5
ABaraaaapaa,NA,0,0,0,0,0,NA,NA,NA
ABaraaaapap,NA,0,0,0,0,0,NA,NA,NA
ABaraaaapp,NA,0,0,0,0,0,NA,NA,NA
ABaraaap,170.472727272727,0,0,0,0,0,0.31108484327738,34.8636363636364,36.325
ABaraaapa,213.413636363636,0,0,0,0,0,0.31803857985243,41.3136363636364,41.925
ABaraaapaa,289.895454545455,0,0,0,0,0,0.274910383760027,74.8772727272727,77.325
ABaraaapaaa,NA,0,0,0,0,0,NA,NA,NA
ABaraaapaap,NA,0,0,0,0,0,NA,NA,NA
ABaraaapap,272.6,0,0,0,0,0,0.0395694406102315,57.5818181818182,59.95
ABaraaapapa,NA,0,0,0,0,0,NA,NA,NA
ABaraaapapp,NA,0,0,0,0,0,NA,NA,NA
ABaraaapp,224.281818181818,0,0,0,0,0,0.207093331022164,52.1863636363636,53.7
ABaraaappa,313.331818181818,0,0,0,0,0,0.445015992028962,87.4090909090909,89
ABaraaappaa,NA,0,0,0,0,0,NA,NA,NA
ABaraaappap,NA,0,0,0,0,0,NA,NA,NA
ABaraaappp,301.45,0,0,0,0,0,0.743781543189018,75.5227272727273,76.425
ABaraaapppa,NA,0,0,0,0,0,NA,NA,NA
ABaraaapppp,NA,0,0,0,0,0,NA,NA,NA
ABaraap,132.868181818182,0,0,0,0,0,0.933734899340073,30.0772727272727,30.15
ABaraapa,172.109090909091,0,0,0,0,0,0.865968336098539,37.5772727272727,37.675
ABaraapaa,221.163636363636,0,0,0,0,0,0.950722630103048,47.4409090909091,47.475
ABaraapaaa,301.940909090909,0,0,0,0,0,0.588301131341137,79.15,81.675
ABaraapaaaa,NA,0,0,0,0,0,NA,NA,NA
ABaraapaaap,NA,0,0,0,0,0,NA,NA,NA
ABaraapaap,287.318181818182,0,0,0,0,0,0.375870493451281,64.5,66.05
ABaraapaapa,NA,0,0,0,0,0,NA,NA,NA
ABaraapaapp,NA,0,0,0,0,0,NA,NA,NA
ABaraapap,218.290909090909,0,0,0,0,0,0.539005150816048,44.5545454545455,45.225
ABaraapapa,273.372727272727,0,0,0,0,0,0.364159931927587,53.4409090909091,55.65
ABaraapapaa,416.066666666667,0,0,0,0,0,NA,141.933333333333,NA
ABaraapapaad,NA,0,0,0,0,0,NA,NA,NA
ABaraapapaav,NA,0,0,0,0,0,NA,NA,NA
ABaraapapap,NA,0,0,0,0,0,NA,NA,NA
ABaraapapp,311.536363636364,0,0,0,0,0,0.465816401188839,91.6045454545455,96.15
ABaraapappa,NA,0,0,0,0,0,NA,NA,NA
ABaraapappp,NA,0,0,0,0,0,NA,NA,NA
ABaraapp,169.927272727273,0,0,0,0,0,0.966691973378031,35.4,35.375
ABaraappa,217.690909090909,0,0,0,0,0,0.437955408117291,46.1363636363636,47.075
ABaraappaa,301.431818181818,0,0,0,0,0,0.998491853314466,82.1090909090909,82.1
ABaraappaaa,NA,0,0,0,0,0,NA,NA,NA
ABaraappaap,NA,0,0,0,0,0,NA,NA,NA
ABaraappap,282.440909090909,0,0,0,0,0,0.313688399726704,63.1136363636364,64.75
ABaraappapa,NA,0,0,0,0,0,NA,NA,NA
ABaraappapp,NA,0,0,0,0,0,NA,NA,NA
ABaraappp,217.35,0,0,0,0,0,0.651708753536417,45.8045454545455,45.325
ABaraapppa,272.590909090909,1,0,0,0,1,0.159982083474276,53.6181818181818,58.425
ABaraapppaa,NA,0,0,0,0,0,NA,NA,NA
ABaraapppaad,NA,0,0,0,0,0,NA,NA,NA
ABaraapppaav,NA,0,0,0,0,0,NA,NA,NA
ABaraapppap,NA,0,0,0,0,0,NA,NA,NA
ABaraapppp,310.15,1,0,0,0,1,0.430412110800023,91.1818181818182,96.6
ABaraappppa,NA,0,0,0,0,0,NA,NA,NA
ABaraappppp,NA,0,0,0,0,0,NA,NA,NA
ABarap,101.068181818182,0,0,0,0,0,0.722459527504817,25.3772727272727,25
ABarapa,133.113636363636,0,0,0,0,0,0.853428461817266,30.3409090909091,30.15
ABarapaa,172.677272727273,0,0,0,0,0,0.84725213382305,37.9181818181818,38.075
ABarapaaa,227.222727272727,0,0,0,0,0,0.808221010249335,52.8954545454545,53.25
ABarapaaaa,304.709090909091,1,0,0,0,1,0.357524093792252,75.8409090909091,81.025
ABarapaaaaa,NA,0,0,0,0,0,NA,NA,NA
ABarapaaaap,NA,0,0,0,0,0,NA,NA,NA
ABarapaaap,315.309523809524,0,0,0,0,0,0.371031451412065,86.4,90.875
ABarapaaapa,NA,0,0,0,0,0,NA,NA,NA
ABarapaaapp,NA,0,0,0,0,0,NA,NA,NA
ABarapaap,218.386363636364,0,0,0,0,0,0.45317540485093,44.05,44.825
ABarapaapa,313.809090909091,1,0,0,0,1,0.590162428101546,93.7863636363636,99.9666666666667
ABarapaapaa,NA,0,0,0,0,0,NA,NA,NA
ABarapaapap,NA,0,0,0,0,0,NA,NA,NA
ABarapaapp,276.55,1,0,0,0,1,0.188336219540151,56.5181818181818,64.5
ABarapaappa,NA,0,0,0,0,0,NA,NA,NA
ABarapaappp,NA,0,0,0,0,0,NA,NA,NA
ABarapap,168.581818181818,0,0,0,0,0,0.169130568828844,33.8181818181818,34.95
ABarapapa,215.922727272727,0,0,0,0,0,0.423641676733112,45.7,45.1
ABarapapaa,293.413636363636,0,0,0,0,0,0.366171011236237,75.8681818181818,78.925
ABarapapaaa,NA,0,0,0,0,0,NA,NA,NA
ABarapapaap,390,0,0,0,0,0,NA,98.875,NA
