"Cells","Fates","Times","CC_Defects","Pos_Defects","Angle_Defects","Cell_Count","Division_Count","Expression","ceh36_peak.Cells.","unc30_peak.Cells.","mls2_peak.Cells.","nob1_peak.Cells.","ceh13_peak.Cells.","MeanMaxPositionDev","MeanMeanPositionDev"
"ABalpappapa","e2V",273,0,2,0,4,0,2849,2621,0,0,23,0,4.75857100317162,2.43255349436489
"ABalpappapp","mc3V",273,0,3,0,4,0,2887,2395,84,0,23,0,6.8528402286018,3.46078809467847
"ABalpappp",NA,168,0,0,0,4,4,546,162,0,0,0,0,4.34916548146926,2.90338799143161
"ABalpapppa",NA,213,0,0,0,4,4,1057,2480,0,0,0,0,3.46777390254333,2.21124212028295
"ABalpapppaa","I1L",324,0,0,0,3,0,9844,2480,167,6,0,0,3.79638606939783,2.81541420335208
"ABalpapppap","death",324,0,1,0,3,0,3130,2480,0,0,0,0,5.2356976491393,3.94455121096448
"ABalpapppp",NA,213,0,0,0,4,4,546,2750,0,0,0,0,3.98896055783453,2.2140832169853
"ABalpappppa","mc1V",265,0,2,0,4,0,885,4326,0,0,0,0,5.08621165201738,2.24362124622894
"ABalpappppp","m3VL",265,0,2,0,4,0,710,3923,0,0,0,0,5.59027830005616,2.67934914507766
"ABalpp",NA,75,0,0,0,4,4,51,0,0,0,0,0,4.22528732355079,2.88523816741352
"ABalppa",NA,103,0,0,0,4,4,61,0,0,0,0,708,4.27710317569045,2.52594848615907
"ABalppaa",NA,135,0,0,0,4,4,257,0,0,0,0,708,5.39090440472906,3.17803457982471
"ABalppaaa",NA,179,0,0,0,4,4,4872,0,0,0,0,708,5.64551895054303,2.82499053805183
"ABalppaaaa","death",234,0,1,0,4,0,4872,17,0,29,18,708,6.24716347500276,3.25557704240807
"ABalppaaap",NA,234,0,1,0,4,4,7966,0,0,0,0,708,5.30333164407771,3.2240726088234
"ABalppaaapa","AVAL",311,0,0,0,3,0,7966,0,0,0,0,708,3.5968986646094,2.16703401356157
"ABalppaaapp","OLQsoVL",311,0,1,0,3,0,7966,0,0,0,0,708,5.99588626174858,4.05893990462963
"ABalppaap",NA,179,0,0,0,4,1,4455,0,0,0,0,708,5.12917879641589,3.30072786862449
"ABalppaapa","death",231,0,0,0,4,0,9559,23,0,479,31,708,6.97056726022461,3.80984763232376
"ABalppaapp",NA,231,0,0,0,4,4,8965,1,0,1468,0,708,5.98421757270512,3.89595044439461
"ABalppaappa","death",308,0,2,0,4,0,19743,1,0,4446,0,708,5.67965856939128,4.28009334563731
"ABalppaappp","CEPsoVL",308,0,3,0,4,0,8965,1,0,5475,0,708,6.12416479918281,4.24696975712714
"ABalppap",NA,135,0,0,0,4,2,80,0,0,0,0,708,5.60480584069594,3.64697905796583
"ABalppapa",NA,172,0,0,0,4,4,2125,0,0,0,0,708,4.57934319747647,2.95532084324575
"ABalppapaa",NA,220,0,0,0,4,4,9216,0,0,0,0,708,3.93055332865906,2.36741397534518
"ABalppapaaa","RMDVL",305,0,2,0,4,0,19177,0,0,0,0,708,5.57012561450644,3.19804141904431
"ABalppapaap","ILshVL",305,0,1,0,4,0,9394,0,0,0,0,708,4.58734327198872,3.1002655225648
"ABalppapap",NA,220,0,0,0,4,4,5689,0,0,0,0,708,4.17617786527989,2.73311309402355
"ABalppapapa","SAADL",299,0,2,0,4,0,5689,0,258,683,0,708,5.13414273649271,3.60144358679646
"ABalppapapp","ILsoVL",299,0,2,0,4,0,5689,0,0,0,0,708,5.83738660922699,3.17037478801757
"ABalppapp",NA,172,0,0,0,4,4,2176,0,0,0,0,708,4.41792551927665,2.79990048874417
"ABalppappa",NA,218,0,0,0,4,4,16059,0,0,0,0,708,4.1420171585774,2.29049520468154
"ABalppappaa","SMDVL",296,0,0,0,4,0,17660,0,0,0,0,708,3.37202953794369,2.36113700066252
"ABalppappap","BAGL",296,0,1,0,4,0,16059,0,0,0,0,708,3.97984742580458,2.79377252649839
"ABalppappp",NA,218,0,0,0,4,4,17979,0,0,0,0,708,4.3947024696329,2.39929051178466
"ABalppapppa",NA,286,0,2,0,4,0,29374,0,0,0,0,708,5.16524634947277,3.42316169586197
"ABalppapppaa","IL1VL",400,0,0,0,NA,0,29374,0,0,0,0,708,NA,NA
"ABalppapppap","death",400,0,0,0,NA,0,29374,0,0,0,0,708,NA,NA
"ABalppapppp","IL2VL",286,0,2,0,4,0,35932,0,0,0,0,708,4.84532426560034,3.0709611644389
"ABalppp",NA,103,0,0,0,4,4,51,0,0,0,0,437,3.79273753019564,2.95769795260258
"ABalpppa",NA,134,0,0,0,4,1,51,0,0,0,0,437,4.99146080747293,2.94364076628452
"ABalpppaa",NA,173,0,0,0,4,2,1562,0,0,0,0,437,4.04109682645798,2.59688595036243
"ABalpppaaa",NA,227,0,0,0,4,4,14925,0,0,0,0,437,4.31514732192323,2.74457424246042
"ABalpppaaaa","AVEL",313,0,1,0,4,0,14925,0,244,0,0,437,4.49047173508629,3.15000767317897
"ABalpppaaap","OLQshVL",313,0,1,0,4,0,14925,0,0,0,0,437,4.77162723498625,3.10548392431351
"ABalpppaap",NA,227,0,0,0,4,4,20027,0,100,0,0,437,4.55909629620058,2.45845159267698
"ABalpppaapd","OLLshL",318,0,0,0,4,0,38168,0,100,0,0,437,3.96126874834278,2.93871409323451
"ABalpppaapv","death",318,0,1,0,4,0,42828,0,100,15,0,437,4.06278548011181,2.66820910517666
"ABalpppap",NA,173,0,0,1,4,4,1387,0,0,0,0,437,3.47647564854584,2.30074449907965
