"Cells","Fates","CCTermDefects","PosTermDefects","AngTermDefects","Expression","ceh36_peak.CellsLineageOrder...1..","unc30_peak.CellsLineageOrder...1..","mls2_peak.CellsLineageOrder...1..","nob1_peak.CellsLineageOrder...1..","ceh13_peak.CellsLineageOrder...1.."
"ABpraaappap","AWBR",0,0,1,475,0,0,8,0,0
"ABpraaapppa",NA,0,3,1,452,0,0,8,0,0
"ABpraaappppa","ASJR",0,3,1,607,0,0,8,0,0
"ABpraaappppp","AUAR",0,3,1,477,0,0,8,0,0
"ABpraapaaaa","hyp3",0,3,1,4451,11,0,8,0,0
"ABpraapaaap","ILsoDR",0,3,1,2993,11,0,150,0,0
"ABpraapaapa","URBR",0,1,1,1962,0,193,1428,0,0
"ABpraapaapp","AMshR",0,1,1,878,0,0,8,0,0
"ABpraapapaa","AWAR",0,0,1,961,0,1080,8,0,0
"ABpraapapap","ASGR",0,0,1,526,0,582,8,0,0
"ABpraapappa","AIBR",0,0,1,334,0,825,8,0,0
"ABpraapappp",NA,0,0,1,216,0,442,8,0,0
"ABpraappaa","hyp4",1,1,1,9375,0,105,8,73,35
"ABpraappap","hyp6",0,0,1,415,0,0,8,0,0
"ABpraapppa","hyp7",0,0,1,442,0,0,8,0,0
"ABpraapppp","hyp7",0,1,1,259,0,0,8,0,0
"ABprapaaaaa","death",0,1,1,1603,0,0,8,0,3759
"ABprapaaaap",NA,0,0,1,366,0,0,8,0,3759
"ABprapaaapa",NA,0,2,1,707,0,0,8,0,3759
"ABprapaaapp","RMGR",0,1,1,503,0,0,8,0,3759
"ABprapaapa","W",0,2,1,532,42,0,8,0,3986
"ABprapaapp","P1/2R",0,2,1,337,0,0,8,0,3986
"ABprapapaa",NA,0,0,1,239,0,0,8,1695,2802
"ABprapapap","P9/10R",0,1,1,353,0,0,8,1451,2802
"ABprapappa","P12",0,0,1,394,0,0,8,3542,2802
"ABprapapppa","death",0,0,1,2040,0,331,8,2748,2802
"ABprapapppp",NA,0,0,1,659,0,0,8,2748,2802
"ABprappaaa","P3/4R",0,1,1,727,0,0,8,934,2814
"ABprappaap","P5/6R",0,1,1,450,0,0,8,934,1962
"ABprappapa","V3R",0,1,1,352,0,0,8,896,1267
"ABprappapp","P7/8R",0,1,1,567,0,0,8,896,1267
"ABprapppaaa","PVQR",0,0,1,558,0,0,8,1839,1113
"ABprapppaap","death",0,1,1,1559,0,0,58,1839,1113
"ABprapppapa","death",0,0,1,823,0,0,8,1839,1113
"ABprapppapp",NA,0,0,1,1358,0,142,8,1839,1113
"ABprappppa","hyp7",0,1,1,881,0,0,8,1483,1113
"ABprappppp","TR",0,0,1,781,88,0,8,1483,1113
"ABprpaaaaaa","SAAVR",0,0,1,589,927,1521,2848,0,0
"ABprpaaaaap","AWCR",0,0,1,768,927,1521,2848,0,0
"ABprpaaaapa","G1",0,1,1,1326,1015,1521,2915,0,0
"ABprpaaaapp","DB3/1",0,1,1,1322,1015,1521,2915,0,0
"ABprpaaapaa","URAVR",0,2,1,9055,743,1521,990,1,0
"ABprpaaapap","CEPshVR",0,1,1,9055,743,1521,990,1,0
"ABprpaaappa",NA,0,1,1,42903,768,1521,1527,2,0
"ABprpaaappp","URYVR",0,2,1,27785,768,1521,1527,2,0
"ABprpaapaaa","RIVR",0,1,1,506,720,1298,32,0,0
"ABprpaapaap","AVBR",0,0,1,660,720,1298,32,0,0
"ABprpaapapa","AMsoR",0,1,1,628,720,1298,8,0,0
"ABprpaapapp","CEMVR",0,2,1,2162,720,1298,58,0,0
"ABprpaappaa","ASHR",0,0,1,451,731,1404,8,0,0
"ABprpaappap","RIBR",0,1,1,3290,731,1404,8,0,0
"ABprpaapppa","AIMR",0,1,1,1286,731,1404,8,0,0
